error,document_id,mask,siret,city_name,format,document_year,created_at,link_bucketS3,state_id,error_message,warning_message,budget_type,nb_pages,__line_no,__raw_line
"Parse mismatch at line 263: got 10 fields, expected 13.",053353b1-7a0c-419c-88aa-801d0552d0ab,,,,,,2025-07-04 15:53:50.760968+00,CA CALVI BA  plage.pdf,ef6143bb-7b4b-4195-b909-de5479435684,"Erreur lors de la mise à jour des informations du document dans la base de donnée avec les informations suivantes : mask: M57_CA, siret: 21200050900092, document_year: 2024, city_name: MAIRIE DE CALVI - PLAGE CALVI - CA, format: scan  ",,,,263,"053353b1-7a0c-419c-88aa-801d0552d0ab,,,,,,2025-07-04 15:53:50.760968+00,CA CALVI BA  plage.pdf,ef6143bb-7b4b-4195-b909-de5479435684,""Erreur lors de la mise à jour des informations du document dans la base de donnée avec les informations suivantes : mask: M57_CA, siret: 21200050900092, document_year: 2024, city_name: MAIRIE DE CALVI - PLAGE CALVI - CA, format: scan  "
"Parse mismatch at line 264: got 1 fields, expected 13."," Erreur : 400 Client Error: BAD REQUEST for url: http://heka.localhost/api/c13s/tables/document/053353b1-7a0c-419c-88aa-801d0552d0ab,,,",,,,,,,,,,,,,264," Erreur : 400 Client Error: BAD REQUEST for url: http://heka.localhost/api/c13s/tables/document/053353b1-7a0c-419c-88aa-801d0552d0ab"",,,"
"Parse mismatch at line 265: got 10 fields, expected 13.",288ea19d-20b2-4d2e-9e02-ea459f637482,,,,,,2025-07-04 15:53:50.760968+00,Boulogne CFU scan,bf84ae15-ca34-4ad1-8d4c-0f0ba90d6692,"Erreur lors de la mise à jour des informations du document dans la base de donnée avec les informations suivantes : mask: M57_CA, siret: 21920011200011, document_year: 2023, city_name: Ville de Boulogne Billancourt, format: scan  ",,,,265,"288ea19d-20b2-4d2e-9e02-ea459f637482,,,,,,2025-07-04 15:53:50.760968+00,Boulogne CFU scan,bf84ae15-ca34-4ad1-8d4c-0f0ba90d6692,""Erreur lors de la mise à jour des informations du document dans la base de donnée avec les informations suivantes : mask: M57_CA, siret: 21920011200011, document_year: 2023, city_name: Ville de Boulogne Billancourt, format: scan  "
"Parse mismatch at line 266: got 1 fields, expected 13."," Erreur : 400 Client Error: BAD REQUEST for url: http://heka.localhost/api/c13s/tables/document/288ea19d-20b2-4d2e-9e02-ea459f637482,,,",,,,,,,,,,,,,266," Erreur : 400 Client Error: BAD REQUEST for url: http://heka.localhost/api/c13s/tables/document/288ea19d-20b2-4d2e-9e02-ea459f637482"",,,"
"Parse mismatch at line 268: got 10 fields, expected 13.",a46398b7-9860-4708-bf5f-c9f8b8d256e8,,,,,,2025-07-04 16:03:32.540636+00,Boulogne CFU scan,30515b53-9fc4-4d8d-bb09-c20ec1cbaa06,"Erreur lors de la mise à jour des informations du document dans la base de donnée avec les informations suivantes : mask: M57_CA, siret: 21920011200011, document_year: 2023, city_name: Ville de Boulogne Billancourt, format: scan  ",,,,268,"a46398b7-9860-4708-bf5f-c9f8b8d256e8,,,,,,2025-07-04 16:03:32.540636+00,Boulogne CFU scan,30515b53-9fc4-4d8d-bb09-c20ec1cbaa06,""Erreur lors de la mise à jour des informations du document dans la base de donnée avec les informations suivantes : mask: M57_CA, siret: 21920011200011, document_year: 2023, city_name: Ville de Boulogne Billancourt, format: scan  "
"Parse mismatch at line 269: got 1 fields, expected 13."," Erreur : 400 Client Error: BAD REQUEST for url: http://heka.localhost/api/c13s/tables/document/a46398b7-9860-4708-bf5f-c9f8b8d256e8,,,",,,,,,,,,,,,,269," Erreur : 400 Client Error: BAD REQUEST for url: http://heka.localhost/api/c13s/tables/document/a46398b7-9860-4708-bf5f-c9f8b8d256e8"",,,"
"Parse mismatch at line 270: got 10 fields, expected 13.",e8a97a81-104a-443c-8c40-2f8f59aeb6c2,,,,,,2025-07-04 16:03:32.540636+00,CA CALVI BA  plage.pdf,e0ab6b34-69f4-4397-a667-d3804762da80,"Erreur lors de la mise à jour des informations du document dans la base de donnée avec les informations suivantes : mask: M57_CA, siret: 21200050900092, document_year: 2024, city_name: MAIRIE DE CALVI - PLAGE CALVI - CA, format: scan  ",,,,270,"e8a97a81-104a-443c-8c40-2f8f59aeb6c2,,,,,,2025-07-04 16:03:32.540636+00,CA CALVI BA  plage.pdf,e0ab6b34-69f4-4397-a667-d3804762da80,""Erreur lors de la mise à jour des informations du document dans la base de donnée avec les informations suivantes : mask: M57_CA, siret: 21200050900092, document_year: 2024, city_name: MAIRIE DE CALVI - PLAGE CALVI - CA, format: scan  "
"Parse mismatch at line 271: got 1 fields, expected 13."," Erreur : 400 Client Error: BAD REQUEST for url: http://heka.localhost/api/c13s/tables/document/e8a97a81-104a-443c-8c40-2f8f59aeb6c2,,,",,,,,,,,,,,,,271," Erreur : 400 Client Error: BAD REQUEST for url: http://heka.localhost/api/c13s/tables/document/e8a97a81-104a-443c-8c40-2f8f59aeb6c2"",,,"
"Parse mismatch at line 273: got 10 fields, expected 13.",2652bc3e-87c6-4727-99f8-b7fb10938ea9,M57_CA,21920011200011,Ville de Boulogne Billancourt,scan,2023,2025-07-04 16:16:27.689511+00,Boulogne CFU scan,6faf8c18-1a4d-4980-8c46-81f8b060064f,"Erreur lors de l''extraction des tables du document (masque :M57_CA, format :scan): Extraction failed for page 1: ''set'' object has no attribute ''append''"",130,,",,,,273,"2652bc3e-87c6-4727-99f8-b7fb10938ea9,M57_CA,21920011200011,Ville de Boulogne Billancourt,scan,2023,2025-07-04 16:16:27.689511+00,Boulogne CFU scan,6faf8c18-1a4d-4980-8c46-81f8b060064f,""Erreur lors de l''extraction des tables du document (masque :M57_CA, format :scan): Extraction failed for page 1: ''set'' object has no attribute ''append''"",130,,"
"Parse mismatch at line 274: got 10 fields, expected 13.",f8e2971d-7a87-4159-a4fd-01644301671b,M57_CA,21200050900092,MAIRIE DE CALVI - PLAGE CALVI - CA,scan,2024,2025-07-04 16:16:27.689511+00,CA CALVI BA  plage.pdf,54c883f7-7e15-408e-adb0-cec206ef7f70,"Erreur lors de l''extraction des tables du document (masque :M57_CA, format :scan): Extraction failed for page 1: ''set'' object has no attribute ''append''"",64,,",,,,274,"f8e2971d-7a87-4159-a4fd-01644301671b,M57_CA,21200050900092,MAIRIE DE CALVI - PLAGE CALVI - CA,scan,2024,2025-07-04 16:16:27.689511+00,CA CALVI BA  plage.pdf,54c883f7-7e15-408e-adb0-cec206ef7f70,""Erreur lors de l''extraction des tables du document (masque :M57_CA, format :scan): Extraction failed for page 1: ''set'' object has no attribute ''append''"",64,,"
"Parse mismatch at line 275: got 10 fields, expected 13.",4b54a281-3a67-4a22-864d-97b725bb2e28,M57_CFU,21930006800018,BAGNOLET VILLE - VILLE,pdf,2024,2025-07-07 08:08:33.528751+00,CFU_2024 Bagnolet.pdf,9f3c6554-caec-4fb6-9fbd-6827f610b273,"Erreur lors de l''extraction des tables du document (masque :M57_CFU, format :pdf): Rendering failed for page 0: render_page_as_base64() missing 1 required positional argument: ''page_index''"",93,,",,,,275,"4b54a281-3a67-4a22-864d-97b725bb2e28,M57_CFU,21930006800018,BAGNOLET VILLE - VILLE,pdf,2024,2025-07-07 08:08:33.528751+00,CFU_2024 Bagnolet.pdf,9f3c6554-caec-4fb6-9fbd-6827f610b273,""Erreur lors de l''extraction des tables du document (masque :M57_CFU, format :pdf): Rendering failed for page 0: render_page_as_base64() missing 1 required positional argument: ''page_index''"",93,,"
"Parse mismatch at line 296: got 10 fields, expected 13.",1c328ea4-8e71-4598-9a1a-746cba208786,M57_CA,21200050900092,MAIRIE DE CALVI - PLAGE CALVI - CA,scan,2024,2025-07-07 10:01:33.288628+00,CA CALVI BA  plage.pdf,e72613bf-0c3d-46e1-a189-a2ed3a804108,Une erreur a interrompue l''extraction des tableaux du document (masque associé :M57_CA):  Trop de sections n''ont pas pu être extraites du document (tolérance fixée à 2 sections manquantes): 0 trouvée(s) alors que 7 sont attendues.,,,,296,"1c328ea4-8e71-4598-9a1a-746cba208786,M57_CA,21200050900092,MAIRIE DE CALVI - PLAGE CALVI - CA,scan,2024,2025-07-07 10:01:33.288628+00,CA CALVI BA  plage.pdf,e72613bf-0c3d-46e1-a189-a2ed3a804108,""Une erreur a interrompue l''extraction des tableaux du document (masque associé :M57_CA):  Trop de sections n''ont pas pu être extraites du document (tolérance fixée à 2 sections manquantes): 0 trouvée(s) alors que 7 sont attendues."
"Parse mismatch at line 297: got 14 fields, expected 13.", Liste des sections non trouvées : [(''II - PRESENTATION GENERALE'', ''BALANCE GENERALE – DEPENSES''), (''II - PRESENTATION GENERALE'', ''BALANCE GENERALE – RECETTES''), (''III - ADOPTION DU CA'', ''SECTION DE FONCTIONNEMENT - DEPENSES - DETAIL PAR ARTICLE''), (''III - ADOPTION DU CA'', ''SECTION DE FONCTIONNEMENT – RECETTES – DETAIL PAR ARTICLE''), (''III - ADOPTION DU CA''," '""SECTION D''INVESTISSEMENT – DEPENSES – DETAIL PAR ARTICLE'"")"," '""SECTION D''INVESTISSEMENT – RECETTES – DETAIL PAR ARTICLE'"")", (''IV - ANNEXES'', (''III - ADOPTION DU CA'',297," Liste des sections non trouvées : [(''II - PRESENTATION GENERALE'', ''BALANCE GENERALE – DEPENSES''), (''II - PRESENTATION GENERALE'', ''BALANCE GENERALE – RECETTES''), (''III - ADOPTION DU CA'', ''SECTION DE FONCTIONNEMENT - DEPENSES - DETAIL PAR ARTICLE''), (''III - ADOPTION DU CA'', ''SECTION DE FONCTIONNEMENT – RECETTES – DETAIL PAR ARTICLE''), (''III - ADOPTION DU CA'', '""SECTION D''INVESTISSEMENT – DEPENSES – DETAIL PAR ARTICLE'""), (''III - ADOPTION DU CA'', '""SECTION D''INVESTISSEMENT – RECETTES – DETAIL PAR ARTICLE'""), (''IV - ANNEXES'', ''B - ANNEXES PATRIMONIALES – ETAT DE LA DETTE – REPARTITION PAR NATURE DE DETTE'')]."",64,,"
"Parse mismatch at line 301: got 10 fields, expected 13.",be0b69c2-e336-4830-aee1-39a3f91bb7d2,M57_CA,21200050900092,MAIRIE DE CALVI - PLAGE CALVI - CA,scan,2024,2025-07-07 10:37:14.252887+00,CA CALVI BA  plage.pdf,87180cfe-be98-49d8-8d9a-5ef3dc05686b,Une erreur a interrompue l''extraction des tableaux du document (masque associé :M57_CA):  Trop de sections n''ont pas pu être extraites du document (tolérance fixée à 2 sections manquantes): 0 trouvée(s) alors que 7 sont attendues.,,,,301,"be0b69c2-e336-4830-aee1-39a3f91bb7d2,M57_CA,21200050900092,MAIRIE DE CALVI - PLAGE CALVI - CA,scan,2024,2025-07-07 10:37:14.252887+00,CA CALVI BA  plage.pdf,87180cfe-be98-49d8-8d9a-5ef3dc05686b,""Une erreur a interrompue l''extraction des tableaux du document (masque associé :M57_CA):  Trop de sections n''ont pas pu être extraites du document (tolérance fixée à 2 sections manquantes): 0 trouvée(s) alors que 7 sont attendues."
"Parse mismatch at line 302: got 14 fields, expected 13.", Liste des sections non trouvées : [(''II - PRESENTATION GENERALE'', ''BALANCE GENERALE – DEPENSES''), (''II - PRESENTATION GENERALE'', ''BALANCE GENERALE – RECETTES''), (''III - ADOPTION DU CA'', ''SECTION DE FONCTIONNEMENT - DEPENSES - DETAIL PAR ARTICLE''), (''III - ADOPTION DU CA'', ''SECTION DE FONCTIONNEMENT – RECETTES – DETAIL PAR ARTICLE''), (''III - ADOPTION DU CA''," '""SECTION D''INVESTISSEMENT – DEPENSES – DETAIL PAR ARTICLE'"")"," '""SECTION D''INVESTISSEMENT – RECETTES – DETAIL PAR ARTICLE'"")", (''IV - ANNEXES'', (''III - ADOPTION DU CA'',302," Liste des sections non trouvées : [(''II - PRESENTATION GENERALE'', ''BALANCE GENERALE – DEPENSES''), (''II - PRESENTATION GENERALE'', ''BALANCE GENERALE – RECETTES''), (''III - ADOPTION DU CA'', ''SECTION DE FONCTIONNEMENT - DEPENSES - DETAIL PAR ARTICLE''), (''III - ADOPTION DU CA'', ''SECTION DE FONCTIONNEMENT – RECETTES – DETAIL PAR ARTICLE''), (''III - ADOPTION DU CA'', '""SECTION D''INVESTISSEMENT – DEPENSES – DETAIL PAR ARTICLE'""), (''III - ADOPTION DU CA'', '""SECTION D''INVESTISSEMENT – RECETTES – DETAIL PAR ARTICLE'""), (''IV - ANNEXES'', ''B - ANNEXES PATRIMONIALES – ETAT DE LA DETTE – REPARTITION PAR NATURE DE DETTE'')]."",64,,"
"Parse mismatch at line 306: got 10 fields, expected 13.",9aedd50b-938f-4007-a887-4a5023300a89,M57_CA,21200050900092,MAIRIE DE CALVI - PLAGE CALVI - CA,scan,2024,2025-07-07 11:06:41.285065+00,CA CALVI BA  plage.pdf,f067d658-8e8e-4d7e-8c69-61e3feaa80c3,Une erreur a interrompue l''extraction des tableaux du document (masque associé :M57_CA):  Trop de sections n''ont pas pu être extraites du document (tolérance fixée à 2 sections manquantes): 0 trouvée(s) alors que 7 sont attendues.,,,,306,"9aedd50b-938f-4007-a887-4a5023300a89,M57_CA,21200050900092,MAIRIE DE CALVI - PLAGE CALVI - CA,scan,2024,2025-07-07 11:06:41.285065+00,CA CALVI BA  plage.pdf,f067d658-8e8e-4d7e-8c69-61e3feaa80c3,""Une erreur a interrompue l''extraction des tableaux du document (masque associé :M57_CA):  Trop de sections n''ont pas pu être extraites du document (tolérance fixée à 2 sections manquantes): 0 trouvée(s) alors que 7 sont attendues."
"Parse mismatch at line 307: got 14 fields, expected 13.", Liste des sections non trouvées : [(''II - PRESENTATION GENERALE'', ''BALANCE GENERALE – DEPENSES''), (''II - PRESENTATION GENERALE'', ''BALANCE GENERALE – RECETTES''), (''III - ADOPTION DU CA'', ''SECTION DE FONCTIONNEMENT - DEPENSES - DETAIL PAR ARTICLE''), (''III - ADOPTION DU CA'', ''SECTION DE FONCTIONNEMENT – RECETTES – DETAIL PAR ARTICLE''), (''III - ADOPTION DU CA''," '""SECTION D''INVESTISSEMENT – DEPENSES – DETAIL PAR ARTICLE'"")"," '""SECTION D''INVESTISSEMENT – RECETTES – DETAIL PAR ARTICLE'"")", (''IV - ANNEXES'', (''III - ADOPTION DU CA'',307," Liste des sections non trouvées : [(''II - PRESENTATION GENERALE'', ''BALANCE GENERALE – DEPENSES''), (''II - PRESENTATION GENERALE'', ''BALANCE GENERALE – RECETTES''), (''III - ADOPTION DU CA'', ''SECTION DE FONCTIONNEMENT - DEPENSES - DETAIL PAR ARTICLE''), (''III - ADOPTION DU CA'', ''SECTION DE FONCTIONNEMENT – RECETTES – DETAIL PAR ARTICLE''), (''III - ADOPTION DU CA'', '""SECTION D''INVESTISSEMENT – DEPENSES – DETAIL PAR ARTICLE'""), (''III - ADOPTION DU CA'', '""SECTION D''INVESTISSEMENT – RECETTES – DETAIL PAR ARTICLE'""), (''IV - ANNEXES'', ''B - ANNEXES PATRIMONIALES – ETAT DE LA DETTE – REPARTITION PAR NATURE DE DETTE'')]."",64,,"
"Parse mismatch at line 368: got 10 fields, expected 13.",0e09ee71-3461-4df3-b15a-4e48b4fd748e,M57_CA,21570757100018,VILLE DE YUTZ,pdf,2024,2025-07-09 16:14:22.844588+00,CA24 YUTZ.pdf,213af538-a818-468a-a934-dc92977ebfa3,Une erreur a interrompue l''extraction des tableaux du document (masque associé :M57_CA): Trop de sections n''ont pas pu être extraites du document (tolérance fixée à 2 sections manquantes): 1 trouvée(s) alors que 7 sont attendues.,,,,368,"0e09ee71-3461-4df3-b15a-4e48b4fd748e,M57_CA,21570757100018,VILLE DE YUTZ,pdf,2024,2025-07-09 16:14:22.844588+00,CA24 YUTZ.pdf,213af538-a818-468a-a934-dc92977ebfa3,""Une erreur a interrompue l''extraction des tableaux du document (masque associé :M57_CA): Trop de sections n''ont pas pu être extraites du document (tolérance fixée à 2 sections manquantes): 1 trouvée(s) alors que 7 sont attendues."
"Parse mismatch at line 369: got 12 fields, expected 13.", Liste des sections non trouvées : [(''II - PRESENTATION GENERALE'', ''BALANCE GENERALE – DEPENSES''), (''II - PRESENTATION GENERALE'', ''BALANCE GENERALE – RECETTES''), (''III - ADOPTION DU CA'', ''SECTION DE FONCTIONNEMENT - DEPENSES - DETAIL PAR ARTICLE''), (''III - ADOPTION DU CA'', ''SECTION DE FONCTIONNEMENT – RECETTES – DETAIL PAR ARTICLE''), (''III - ADOPTION DU CA''," '""SECTION D''INVESTISSEMENT – DEPENSES – DETAIL PAR ARTICLE'"")"," '""SECTION D''INVESTISSEMENT – RECETTES – DETAIL PAR ARTICLE'"")].,194,,",, (''III - ADOPTION DU CA'',369," Liste des sections non trouvées : [(''II - PRESENTATION GENERALE'', ''BALANCE GENERALE – DEPENSES''), (''II - PRESENTATION GENERALE'', ''BALANCE GENERALE – RECETTES''), (''III - ADOPTION DU CA'', ''SECTION DE FONCTIONNEMENT - DEPENSES - DETAIL PAR ARTICLE''), (''III - ADOPTION DU CA'', ''SECTION DE FONCTIONNEMENT – RECETTES – DETAIL PAR ARTICLE''), (''III - ADOPTION DU CA'', '""SECTION D''INVESTISSEMENT – DEPENSES – DETAIL PAR ARTICLE'""), (''III - ADOPTION DU CA'', '""SECTION D''INVESTISSEMENT – RECETTES – DETAIL PAR ARTICLE'"")]."",194,,"
"Parse mismatch at line 379: got 10 fields, expected 13.",eb43defa-17b4-4a23-a0df-374b85c5a824,M57_CA,21200050900092,MAIRIE DE CALVI - PLAGE CALVI,scan,2024,2025-07-10 09:59:33.095444+00,CA CALVI BA  plage.pdf,3e62c795-930c-4de1-ab23-3da150cf132f,Une erreur a interrompue l''extraction des tableaux du document (masque associé :M57_CA): Trop de sections n''ont pas pu être extraites du document (tolérance fixée à 2 sections manquantes): 4 trouvée(s) alors que 7 sont attendues.,,,,379,"eb43defa-17b4-4a23-a0df-374b85c5a824,M57_CA,21200050900092,MAIRIE DE CALVI - PLAGE CALVI,scan,2024,2025-07-10 09:59:33.095444+00,CA CALVI BA  plage.pdf,3e62c795-930c-4de1-ab23-3da150cf132f,""Une erreur a interrompue l''extraction des tableaux du document (masque associé :M57_CA): Trop de sections n''ont pas pu être extraites du document (tolérance fixée à 2 sections manquantes): 4 trouvée(s) alors que 7 sont attendues."
"Parse mismatch at line 380: got 6 fields, expected 13.", Liste des sections non trouvées : [(''II - PRESENTATION GENERALE'', ''BALANCE GENERALE – DEPENSES''), (''II - PRESENTATION GENERALE'', ''BALANCE GENERALE – RECETTES''), (''IV - ANNEXES''," ''B - ANNEXES PATRIMONIALES – ETAT DE LA DETTE – REPARTITION PAR NATURE DE DETTE'')].,64,,",,,,,,,,380," Liste des sections non trouvées : [(''II - PRESENTATION GENERALE'', ''BALANCE GENERALE – DEPENSES''), (''II - PRESENTATION GENERALE'', ''BALANCE GENERALE – RECETTES''), (''IV - ANNEXES'', ''B - ANNEXES PATRIMONIALES – ETAT DE LA DETTE – REPARTITION PAR NATURE DE DETTE'')]."",64,,"
"Parse mismatch at line 407: got 10 fields, expected 13.",bfe7013a-103f-4446-8c4b-80346b810cee,M57_CFU,21130028300015,VILLE DE BOULBON,scan,2023,2025-07-10 15:04:06.354059+00,Boulogne CFU scan,cb2c9ef8-ab87-4fff-b1e8-b0e0ee1afa53,Une erreur a interrompue l''extraction des tableaux du document (masque associé :M57_CFU): Trop de sections n''ont pas pu être extraites du document (tolérance fixée à 3 sections manquantes): 5 trouvée(s) alors que 9 sont attendues.,,,,407,"bfe7013a-103f-4446-8c4b-80346b810cee,M57_CFU,21130028300015,VILLE DE BOULBON,scan,2023,2025-07-10 15:04:06.354059+00,Boulogne CFU scan,cb2c9ef8-ab87-4fff-b1e8-b0e0ee1afa53,""Une erreur a interrompue l''extraction des tableaux du document (masque associé :M57_CFU): Trop de sections n''ont pas pu être extraites du document (tolérance fixée à 3 sections manquantes): 5 trouvée(s) alors que 9 sont attendues."
"Parse mismatch at line 408: got 8 fields, expected 13.", Liste des sections non trouvées : [(''II- Exécution budgétaire''," '""Depenses d''investissement – Vue d’ensemble'"")", (''II-Exécution budgétaire'', ''Dépenses de fonctionnement - Vue détaillée''), (''II-Exécution budgétaire''," '""Recettes d''investissement - Vue détaillée'"")", (''IV – Annexes''," ''B – Annexes patrimoniales – Etat de la dette – Répartition par nature de dette'')].,130,,",,,,,,408," Liste des sections non trouvées : [(''II- Exécution budgétaire'', '""Depenses d''investissement – Vue d’ensemble'""), (''II-Exécution budgétaire'', ''Dépenses de fonctionnement - Vue détaillée''), (''II-Exécution budgétaire'', '""Recettes d''investissement - Vue détaillée'""), (''IV – Annexes'', ''B – Annexes patrimoniales – Etat de la dette – Répartition par nature de dette'')]."",130,,"
"Parse mismatch at line 452: got 10 fields, expected 13.",b4b0f3d8-0e58-403e-b08c-f22d4d320bf8,M57_CA,21570757100018,VILLE DE YUTZ,pdf,2024,2025-07-11 12:43:44.701938+00,CA24 YUTZ.pdf,cdcbc89e-cb42-471c-a47b-797bd42234a7,Une erreur a interrompue l''extraction des tableaux du document (masque associé :M57_CA): Trop de sections n''ont pas pu être extraites du document (tolérance fixée à 3 sections manquantes): 1 trouvée(s) alors que 7 sont attendues.,,,,452,"b4b0f3d8-0e58-403e-b08c-f22d4d320bf8,M57_CA,21570757100018,VILLE DE YUTZ,pdf,2024,2025-07-11 12:43:44.701938+00,CA24 YUTZ.pdf,cdcbc89e-cb42-471c-a47b-797bd42234a7,""Une erreur a interrompue l''extraction des tableaux du document (masque associé :M57_CA): Trop de sections n''ont pas pu être extraites du document (tolérance fixée à 3 sections manquantes): 1 trouvée(s) alors que 7 sont attendues."
"Parse mismatch at line 453: got 12 fields, expected 13.", Liste des sections non trouvées : [(''II - PRESENTATION GENERALE'', ''BALANCE GENERALE – DEPENSES''), (''II - PRESENTATION GENERALE'', ''BALANCE GENERALE – RECETTES''), (''III - ADOPTION DU CA'', ''SECTION DE FONCTIONNEMENT - DEPENSES - DETAIL PAR ARTICLE''), (''III - ADOPTION DU CA'', ''SECTION DE FONCTIONNEMENT – RECETTES – DETAIL PAR ARTICLE''), (''III - ADOPTION DU CA''," '""SECTION D''INVESTISSEMENT – DEPENSES – DETAIL PAR ARTICLE'"")"," '""SECTION D''INVESTISSEMENT – RECETTES – DETAIL PAR ARTICLE'"")].,194,,",, (''III - ADOPTION DU CA'',453," Liste des sections non trouvées : [(''II - PRESENTATION GENERALE'', ''BALANCE GENERALE – DEPENSES''), (''II - PRESENTATION GENERALE'', ''BALANCE GENERALE – RECETTES''), (''III - ADOPTION DU CA'', ''SECTION DE FONCTIONNEMENT - DEPENSES - DETAIL PAR ARTICLE''), (''III - ADOPTION DU CA'', ''SECTION DE FONCTIONNEMENT – RECETTES – DETAIL PAR ARTICLE''), (''III - ADOPTION DU CA'', '""SECTION D''INVESTISSEMENT – DEPENSES – DETAIL PAR ARTICLE'""), (''III - ADOPTION DU CA'', '""SECTION D''INVESTISSEMENT – RECETTES – DETAIL PAR ARTICLE'"")]."",194,,"
