error,extraction_rule_id,safir_field_id,mask,definition,ruleset_id
"CHECK constraint failed: mask IN ('M57_CA', 'M57_CFU', 'M4_CA', 'M4_CFU', 'M57', 'M4')",40f11d0d-088a-4bc7-b914-e656a3c495cc,DF011,CA,"{'""extract'"": {'""column'"": '""Opérations réelles (1)'"", '""identifiers'"": ['""011'""], '""section_header'"": ['""II – PRESENTATION GENERALE'"", '""BALANCE GENERALE – DEPENSES'""]}}",48f86eb6-476d-4f8a-84a3-0ad1979bccd4
"CHECK constraint failed: mask IN ('M57_CA', 'M57_CFU', 'M4_CA', 'M4_CFU', 'M57', 'M4')",9fbc27be-6af5-4dda-8198-113449ca22fe,DF012,CA,"{'""extract'"": {'""column'"": '""Opérations réelles (1)'"", '""identifiers'"": ['""012'""], '""section_header'"": ['""II – PRESENTATION GENERALE'"", '""BALANCE GENERALE – DEPENSES'""]}}",48f86eb6-476d-4f8a-84a3-0ad1979bccd4
"CHECK constraint failed: mask IN ('M57_CA', 'M57_CFU', 'M4_CA', 'M4_CFU', 'M57', 'M4')",18cc3de4-90d2-4191-95ab-fc44d35bc2df,DF014,CA,"{'""extract'"": {'""column'"": '""Opérations réelles (1)'"", '""identifiers'"": ['""014'""], '""section_header'"": ['""II – PRESENTATION GENERALE'"", '""BALANCE GENERALE – DEPENSES'""]}}",48f86eb6-476d-4f8a-84a3-0ad1979bccd4
"CHECK constraint failed: mask IN ('M57_CA', 'M57_CFU', 'M4_CA', 'M4_CFU', 'M57', 'M4')",d80adb3e-f058-4b04-b4f9-216c974320bd,DF65,CA,"{'""extract'"": {'""column'"": '""Opérations réelles (1)'"", '""identifiers'"": ['""65'""], '""section_header'"": ['""II – PRESENTATION GENERALE'"", '""BALANCE GENERALE – DEPENSES'""]}}",48f86eb6-476d-4f8a-84a3-0ad1979bccd4
"CHECK constraint failed: mask IN ('M57_CA', 'M57_CFU', 'M4_CA', 'M4_CFU', 'M57', 'M4')",d9497c23-6339-41ad-9553-13ad85332c2b,DF6586,CA,"{'""extract'"": {'""column'"": '""Opérations réelles (1)'"", '""identifiers'"": ['""6586'""], '""section_header'"": ['""II – PRESENTATION GENERALE'"", '""BALANCE GENERALE – DEPENSES'""]}}",48f86eb6-476d-4f8a-84a3-0ad1979bccd4
"CHECK constraint failed: mask IN ('M57_CA', 'M57_CFU', 'M4_CA', 'M4_CFU', 'M57', 'M4')",7783c71e-0f9c-46b1-b73d-2eebbef167d4,DF66,CA,"{'""extract'"": {'""column'"": '""Opérations réelles (1)'"", '""identifiers'"": ['""66'""], '""section_header'"": ['""II – PRESENTATION GENERALE'"", '""BALANCE GENERALE – DEPENSES'""]}}",48f86eb6-476d-4f8a-84a3-0ad1979bccd4
"CHECK constraint failed: mask IN ('M57_CA', 'M57_CFU', 'M4_CA', 'M4_CFU', 'M57', 'M4')",b02bdc18-34fa-45e8-a4a1-2a2a51fe73d5,DF67,CA,"{'""extract'"": {'""column'"": '""Opérations réelles (1)'"", '""identifiers'"": ['""67'""], '""section_header'"": ['""II – PRESENTATION GENERALE'"", '""BALANCE GENERALE – DEPENSES'""]}}",48f86eb6-476d-4f8a-84a3-0ad1979bccd4
"CHECK constraint failed: mask IN ('M57_CA', 'M57_CFU', 'M4_CA', 'M4_CFU', 'M57', 'M4')",18b71438-adbd-45d9-a98a-879cef052c35,DF68,CA,"{'""extract'"": {'""column'"": '""Opérations réelles (1)'"", '""identifiers'"": ['""68'""], '""section_header'"": ['""II – PRESENTATION GENERALE'"", '""BALANCE GENERALE – DEPENSES'""]}}",48f86eb6-476d-4f8a-84a3-0ad1979bccd4
"CHECK constraint failed: mask IN ('M57_CA', 'M57_CFU', 'M4_CA', 'M4_CFU', 'M57', 'M4')",1c5a38ed-5653-4b3b-b8a4-cd7b4aa2b844,DFA,CA,"{'""substract'"": [{'""extract'"": {'""column'"": '""Opérations réelles (1)'"", '""identifiers'"": ['""Dépenses de fonctionnement – Total'""], '""section_header'"": ['""II – PRESENTATION GENERALE'"", '""BALANCE GENERALE – DEPENSES'""]}}, {'""sum'"": [{'""extract'"": {'""column'"": '""Opérations réelles (1)'"", '""identifiers'"": ['""011'""], '""section_header'"": ['""II – PRESENTATION GENERALE'"", '""BALANCE GENERALE – DEPENSES'""]}}, {'""extract'"": {'""column'"": '""Opérations réelles (1)'"", '""identifiers'"": ['""012'""], '""section_header'"": ['""II – PRESENTATION GENERALE'"", '""BALANCE GENERALE – DEPENSES'""]}}, {'""extract'"": {'""column'"": '""Opérations réelles (1)'"", '""identifiers'"": ['""014'""], '""section_header'"": ['""II – PRESENTATION GENERALE'"", '""BALANCE GENERALE – DEPENSES'""]}}, {'""extract'"": {'""column'"": '""Opérations réelles (1)'"", '""identifiers'"": ['""65'""], '""section_header'"": ['""II – PRESENTATION GENERALE'"", '""BALANCE GENERALE – DEPENSES'""]}}, {'""extract'"": {'""column'"": '""Opérations réelles (1)'"", '""identifiers'"": ['""6586'""], '""section_header'"": ['""II – PRESENTATION GENERALE'"", '""BALANCE GENERALE – DEPENSES'""]}}, {'""extract'"": {'""column'"": '""Opérations réelles (1)'"", '""identifiers'"": ['""66'""], '""section_header'"": ['""II – PRESENTATION GENERALE'"", '""BALANCE GENERALE – DEPENSES'""]}}, {'""extract'"": {'""column'"": '""Opérations réelles (1)'"", '""identifiers'"": ['""67'""], '""section_header'"": ['""II – PRESENTATION GENERALE'"", '""BALANCE GENERALE – DEPENSES'""]}}, {'""extract'"": {'""column'"": '""Opérations réelles (1)'"", '""identifiers'"": ['""68'""], '""section_header'"": ['""II – PRESENTATION GENERALE'"", '""BALANCE GENERALE – DEPENSES'""]}}]}]}",48f86eb6-476d-4f8a-84a3-0ad1979bccd4
"CHECK constraint failed: mask IN ('M57_CA', 'M57_CFU', 'M4_CA', 'M4_CFU', 'M57', 'M4')",5f3334dc-069c-48f1-8206-c1541ba4e2c8,DRF,CA,"{'""extract'"": {'""column'"": '""Opérations réelles (1)'"", '""identifiers'"": ['""Dépenses de fonctionnement – Total'""], '""section_header'"": ['""II – PRESENTATION GENERALE'"", '""BALANCE GENERALE – DEPENSES'""]}}",48f86eb6-476d-4f8a-84a3-0ad1979bccd4
"CHECK constraint failed: mask IN ('M57_CA', 'M57_CFU', 'M4_CA', 'M4_CFU', 'M57', 'M4')",f4c40221-160e-4e65-9f6f-29fc461da4f4,DOF,CA,"{'""extract'"": {'""column'"": '""Opérations d’ordre (2)'"", '""identifiers'"": ['""Dépenses de fonctionnement – Total'""], '""section_header'"": ['""II – PRESENTATION GENERALE'"", '""BALANCE GENERALE – DEPENSES'""]}}",48f86eb6-476d-4f8a-84a3-0ad1979bccd4
"CHECK constraint failed: mask IN ('M57_CA', 'M57_CFU', 'M4_CA', 'M4_CFU', 'M57', 'M4')",c409ad05-c5e0-4c29-8c1f-8cfc8000e922,D002,CA,"{'""extract'"": {'""column'"": '""Valeur'"", '""identifiers'"": ['""Pour information D 002 Résultat négatif reporté'""], '""section_header'"": ['""II – PRESENTATION GENERALE'"", '""BALANCE GENERALE – DEPENSES'""]}}",48f86eb6-476d-4f8a-84a3-0ad1979bccd4
"CHECK constraint failed: mask IN ('M57_CA', 'M57_CFU', 'M4_CA', 'M4_CFU', 'M57', 'M4')",0a4b2f79-2ef1-4f94-b71d-9ea2b477fb76,DFC,CA,"{'""sum'"": [{'""extract'"": {'""column'"": '""Opérations réelles (1)'"", '""identifiers'"": ['""Dépenses de fonctionnement – Total'""], '""section_header'"": ['""II – PRESENTATION GENERALE'"", '""BALANCE GENERALE – DEPENSES'""]}}, {'""extract'"": {'""column'"": '""Opérations d’ordre (2)'"", '""identifiers'"": ['""Dépenses de fonctionnement – Total'""], '""section_header'"": ['""II – PRESENTATION GENERALE'"", '""BALANCE GENERALE – DEPENSES'""]}}, {'""extract'"": {'""column'"": '""Valeur'"", '""identifiers'"": ['""Pour information D 002 Résultat négatif reporté'""], '""section_header'"": ['""II – PRESENTATION GENERALE'"", '""BALANCE GENERALE – DEPENSES'""]}}]}",48f86eb6-476d-4f8a-84a3-0ad1979bccd4
"CHECK constraint failed: mask IN ('M57_CA', 'M57_CFU', 'M4_CA', 'M4_CFU', 'M57', 'M4')",f69a4ea6-0a6d-468b-a040-c096f5f470a9,RF013,CA,"{'""extract'"": {'""column'"": '""Opérations réelles (1)'"", '""identifiers'"": ['""013'""], '""section_header'"": ['""II – PRESENTATION GENERALE'"", '""BALANCE GENERALE – RECETTES'""]}}",48f86eb6-476d-4f8a-84a3-0ad1979bccd4
"CHECK constraint failed: mask IN ('M57_CA', 'M57_CFU', 'M4_CA', 'M4_CFU', 'M57', 'M4')",eca0d6d2-d373-4df9-b578-d1f79e527e32,RF70,CA,"{'""extract'"": {'""column'"": '""Opérations réelles (1)'"", '""identifiers'"": ['""70'""], '""section_header'"": ['""II – PRESENTATION GENERALE'"", '""BALANCE GENERALE – RECETTES'""]}}",48f86eb6-476d-4f8a-84a3-0ad1979bccd4
"CHECK constraint failed: mask IN ('M57_CA', 'M57_CFU', 'M4_CA', 'M4_CFU', 'M57', 'M4')",82716350-eead-4fe3-8655-dcb0c8eddf38,RF73,CA,"{'""extract'"": {'""column'"": '""Opérations réelles (1)'"", '""identifiers'"": ['""73'""], '""section_header'"": ['""II – PRESENTATION GENERALE'"", '""BALANCE GENERALE – RECETTES'""]}}",48f86eb6-476d-4f8a-84a3-0ad1979bccd4
"CHECK constraint failed: mask IN ('M57_CA', 'M57_CFU', 'M4_CA', 'M4_CFU', 'M57', 'M4')",e567b82a-44f4-4313-8a78-88f150946495,RF731,CA,"{'""extract'"": {'""column'"": '""Opérations réelles (1)'"", '""identifiers'"": ['""731'""], '""section_header'"": ['""II – PRESENTATION GENERALE'"", '""BALANCE GENERALE – RECETTES'""]}}",48f86eb6-476d-4f8a-84a3-0ad1979bccd4
"CHECK constraint failed: mask IN ('M57_CA', 'M57_CFU', 'M4_CA', 'M4_CFU', 'M57', 'M4')",8d30106c-7a76-409c-8a61-ce0472013fa9,RF74,CA,"{'""extract'"": {'""column'"": '""Opérations réelles (1)'"", '""identifiers'"": ['""74'""], '""section_header'"": ['""II – PRESENTATION GENERALE'"", '""BALANCE GENERALE – RECETTES'""]}}",48f86eb6-476d-4f8a-84a3-0ad1979bccd4
"CHECK constraint failed: mask IN ('M57_CA', 'M57_CFU', 'M4_CA', 'M4_CFU', 'M57', 'M4')",771f9b2b-16ca-4c37-a7a7-777ccf2af0c7,RF75,CA,"{'""extract'"": {'""column'"": '""Opérations réelles (1)'"", '""identifiers'"": ['""75'""], '""section_header'"": ['""II – PRESENTATION GENERALE'"", '""BALANCE GENERALE – RECETTES'""]}}",48f86eb6-476d-4f8a-84a3-0ad1979bccd4
"CHECK constraint failed: mask IN ('M57_CA', 'M57_CFU', 'M4_CA', 'M4_CFU', 'M57', 'M4')",d18b3988-a642-4060-bfd2-3f470b9104ce,RF76,CA,"{'""extract'"": {'""column'"": '""Opérations réelles (1)'"", '""identifiers'"": ['""76'""], '""section_header'"": ['""II – PRESENTATION GENERALE'"", '""BALANCE GENERALE – RECETTES'""]}}",48f86eb6-476d-4f8a-84a3-0ad1979bccd4
"CHECK constraint failed: mask IN ('M57_CA', 'M57_CFU', 'M4_CA', 'M4_CFU', 'M57', 'M4')",11417fe9-6443-4e01-a1cf-fbb77a12689c,RF77,CA,"{'""extract'"": {'""column'"": '""Opérations réelles (1)'"", '""identifiers'"": ['""77'""], '""section_header'"": ['""II – PRESENTATION GENERALE'"", '""BALANCE GENERALE – RECETTES'""]}}",48f86eb6-476d-4f8a-84a3-0ad1979bccd4
"CHECK constraint failed: mask IN ('M57_CA', 'M57_CFU', 'M4_CA', 'M4_CFU', 'M57', 'M4')",a8a6d77d-a399-4e58-8520-cb41f872ca75,RF78,CA,"{'""extract'"": {'""column'"": '""Opérations réelles (1)'"", '""identifiers'"": ['""78'""], '""section_header'"": ['""II – PRESENTATION GENERALE'"", '""BALANCE GENERALE – RECETTES'""]}}",48f86eb6-476d-4f8a-84a3-0ad1979bccd4
"CHECK constraint failed: mask IN ('M57_CA', 'M57_CFU', 'M4_CA', 'M4_CFU', 'M57', 'M4')",38a732fe-0231-48ae-a392-549dcfda4977,RF79,CA,"{'""extract'"": {'""column'"": '""Opérations réelles (1)'"", '""identifiers'"": ['""79'""], '""section_header'"": ['""II – PRESENTATION GENERALE'"", '""BALANCE GENERALE – RECETTES'""]}}",48f86eb6-476d-4f8a-84a3-0ad1979bccd4
